After sweep 9 energy=-127.16497  maxlinkdim=512 maxerr=4.90E-06 time=53.759
After sweep 10 energy=-127.16674  maxlinkdim=512 maxerr=5.04E-06 time=53.936
After sweep 11 energy=-127.16831  maxlinkdim=512 maxerr=4.74E-06 time=53.525
After sweep 12 energy=-127.16926  maxlinkdim=512 maxerr=4.67E-06 time=53.460
After sweep 13 energy=-127.171265  maxlinkdim=512 maxerr=4.71E-06 time=53.409
After sweep 14 energy=-127.17149  maxlinkdim=512 maxerr=4.71E-06 time=53.287
After sweep 15 energy=-127.171844  maxlinkdim=512 maxerr=4.66E-06 time=53.334
After sweep 16 energy=-127.172585  maxlinkdim=512 maxerr=4.65E-06 time=53.552
After sweep 17 energy=-127.17248  maxlinkdim=512 maxerr=4.59E-06 time=53.281
After sweep 18 energy=-127.1728  maxlinkdim=512 maxerr=4.58E-06 time=53.202
After sweep 19 energy=-127.17338  maxlinkdim=512 maxerr=4.57E-06 time=53.190
After sweep 20 energy=-127.172485  maxlinkdim=512 maxerr=4.57E-06 time=53.196
E0 = -127.172485
M = 16.000092
After sweep 1 energy=-106.15611  maxlinkdim=4 maxerr=0.00E+00 time=1.242
After sweep 2 energy=-120.733116  maxlinkdim=16 maxerr=0.00E+00 time=1.482
After sweep 3 energy=-126.06228  maxlinkdim=64 maxerr=0.00E+00 time=2.496
After sweep 4 energy=-126.92705  maxlinkdim=256 maxerr=0.00E+00 time=7.618
After sweep 5 energy=-127.081345  maxlinkdim=512 maxerr=4.14E-06 time=40.043
After sweep 6 energy=-127.12921  maxlinkdim=512 maxerr=9.03E-06 time=54.714
After sweep 7 energy=-127.14815  maxlinkdim=512 maxerr=7.62E-06 time=54.456
After sweep 8 energy=-127.15338  maxlinkdim=512 maxerr=6.06E-06 time=54.150
After sweep 9 energy=-127.156136  maxlinkdim=512 maxerr=5.22E-06 time=53.951
After sweep 10 energy=-127.159424  maxlinkdim=512 maxerr=5.01E-06 time=53.924
After sweep 11 energy=-127.15933  maxlinkdim=512 maxerr=4.94E-06 time=53.484
After sweep 12 energy=-127.16086  maxlinkdim=512 maxerr=4.94E-06 time=53.324
After sweep 13 energy=-127.16172  maxlinkdim=512 maxerr=4.95E-06 time=53.324
After sweep 14 energy=-127.16163  maxlinkdim=512 maxerr=4.96E-06 time=53.195
After sweep 15 energy=-127.16256  maxlinkdim=512 maxerr=4.98E-06 time=53.069
After sweep 16 energy=-127.163246  maxlinkdim=512 maxerr=5.00E-06 time=53.367
After sweep 17 energy=-127.164314  maxlinkdim=512 maxerr=5.00E-06 time=53.107
After sweep 18 energy=-127.16426  maxlinkdim=512 maxerr=5.00E-06 time=53.070
After sweep 19 energy=-127.16473  maxlinkdim=512 maxerr=5.01E-06 time=52.974
After sweep 20 energy=-127.16453  maxlinkdim=512 maxerr=5.01E-06 time=53.001
E0 = -127.16453
M = 18.000078
After sweep 1 energy=-106.47667  maxlinkdim=4 maxerr=0.00E+00 time=1.248
After sweep 2 energy=-120.73125  maxlinkdim=16 maxerr=0.00E+00 time=1.499
After sweep 3 energy=-126.16128  maxlinkdim=64 maxerr=0.00E+00 time=2.503
After sweep 4 energy=-126.98417  maxlinkdim=256 maxerr=3.06E-17 time=7.567
After sweep 5 energy=-127.11057  maxlinkdim=512 maxerr=5.92E-06 time=39.837
After sweep 6 energy=-127.14771  maxlinkdim=512 maxerr=8.20E-06 time=54.532
After sweep 7 energy=-127.158585  maxlinkdim=512 maxerr=5.78E-06 time=54.246
After sweep 8 energy=-127.16425  maxlinkdim=512 maxerr=5.78E-06 time=53.914
After sweep 9 energy=-127.166336  maxlinkdim=512 maxerr=5.04E-06 time=53.751
After sweep 10 energy=-127.169365  maxlinkdim=512 maxerr=4.71E-06 time=53.879
After sweep 11 energy=-127.17027  maxlinkdim=512 maxerr=4.60E-06 time=53.523
After sweep 12 energy=-127.17018  maxlinkdim=512 maxerr=4.59E-06 time=53.380
After sweep 13 energy=-127.17138  maxlinkdim=512 maxerr=4.60E-06 time=53.340
